나나, 57, 154
파다, 81, 153
마바, 73, 194
바차, 68, 186
하라, 66, 169
바라, 97, 147
나바, 75, 179
바마, 55, 184
차차, 78, 187
차하, 58, 199
차다, 75, 154
아차, 59, 141
아파, 46, 186
사가, 40, 199
차하, 69, 188
마나, 77, 176
나아, 91, 178
마라, 46, 165
사아, 80, 154
차파, 88, 174
카사, 85, 181
다다, 56, 140
바자, 54, 179
자파, 74, 195
마타, 79, 168
카하, 92, 169
타타, 51, 185
차아, 70, 184
나다, 97, 145
바라, 67, 177
카아, 81, 158
하다, 54, 182
자자, 70, 193
사가, 77, 142
아카, 64, 173
마나, 63, 199
파자, 72, 156
아사, 79, 159
하자, 88, 178
가바, 40, 154
라나, 60, 175
자파, 72, 158
차카, 90, 184
가마, 79, 158
자타, 68, 164
바바, 44, 152
타파, 95, 194
자나, 57, 157
아차, 42, 175
사타, 64, 190
바마, 57, 176
가파, 68, 147
마다, 53, 156
파차, 54, 164
차차, 99, 198
파다, 58, 191
파파, 84, 182
가나, 42, 157
라카, 97, 183
하타, 48, 184
라사, 52, 166
아차, 63, 168
라라, 91, 143
라바, 66, 184
파자, 55, 198
아마, 58, 180
사카, 87, 184
나다, 95, 169
타카, 76, 144
사마, 67, 178
다카, 75, 196
하아, 59, 161
바다, 81, 152
나하, 86, 194
차바, 84, 190
나라, 88, 167
가마, 54, 184
파자, 51, 169
차아, 49, 188
카바, 90, 154
다타, 80, 189
타다, 40, 181
바아, 50, 175
하라, 53, 199
사사, 73, 199
파파, 88, 149
사바, 88, 143
차타, 55, 162
바카, 75, 177
나마, 97, 156
바가, 65, 181
가다, 54, 177
타타, 94, 160
파타, 90, 160
차자, 53, 183
다나, 94, 141
차카, 61, 148
자라, 76, 166
바바, 40, 170
파자, 91, 180
타차, 66, 151
다다, 58, 151
다바, 86, 187
다마, 81, 187
아다, 86, 182
파바, 89, 190
차하, 48, 179
라자, 68, 162
타가, 81, 177
바바, 85, 185
사아, 71, 192
가다, 58, 158
카마, 72, 171
차가, 68, 186
다바, 51, 198
아타, 87, 147
카카, 72, 197
다하, 82, 199
다가, 72, 166
바파, 83, 180
차바, 82, 196
나아, 91, 170
사사, 42, 182
차다, 56, 141
카하, 47, 145
다마, 46, 176
가카, 88, 180
다가, 55, 184
다나, 54, 177
다다, 58, 145
다하, 81, 155
차차, 93, 197
가하, 79, 173
가라, 79, 182
나사, 49, 158
자하, 95, 183
자차, 68, 173
라카, 59, 174
파자, 77, 194
라자, 94, 173
마타, 69, 197
하아, 46, 191
나하, 65, 164
카아, 76, 177
하타, 98, 166
마파, 89, 173
라다, 75, 197
자자, 50, 194
마바, 43, 198
라하, 75, 179
나하, 50, 198
아차, 48, 177
가하, 97, 155
가사, 63, 179
라라, 99, 152
다카, 78, 192
파차, 50, 192
나자, 84, 143
나마, 94, 167
나파, 53, 189
바가, 99, 187
가다, 87, 170
차나, 56, 167
바마, 88, 149
아카, 87, 174
타마, 52, 192
아나, 47, 186
다마, 95, 198
가자, 92, 159
마파, 62, 155
나자, 81, 199
마자, 48, 143
카나, 65, 166
아파, 51, 192
나아, 68, 158
카아, 47, 142
가가, 41, 140
마가, 40, 175
차아, 91, 197
마자, 63, 167
바타, 53, 198
바가, 72, 170
아가, 65, 173
사사, 99, 191
가차, 51, 160
차나, 42, 170
아카, 99, 153
타자, 69, 173
사가, 99, 146
타파, 73, 140
카하, 47, 187
자다, 82, 143
카가, 63, 189
아나, 57, 176
자하, 48, 146
마카, 41, 141
사다, 43, 143
카마, 65, 166
가나, 70, 174
카타, 63, 153
가차, 82, 195
자다, 69, 183
하카, 69, 158
자카, 93, 145
자바, 94, 149
차자, 77, 143
바라, 64, 167
다자, 66, 176
가사, 86, 151
마자, 58, 148
카자, 78, 165
나사, 57, 199
카가, 79, 192
하가, 57, 182
바타, 79, 156
다나, 48, 146
파아, 50, 184
파카, 70, 152
하파, 89, 159
나카, 60, 168
타차, 91, 165
자사, 52, 168
파아, 53, 151
마차, 49, 155
다가, 62, 168
나라, 60, 176
다가, 68, 171
자라, 65, 171
타차, 89, 185
자가, 45, 181
파사, 50, 158
카아, 76, 156
파카, 85, 171
마타, 81, 161
카다, 75, 183
가라, 46, 195
사라, 48, 179
마바, 45, 172
하바, 90, 175
자카, 49, 164
가카, 92, 165
마라, 40, 149
파아, 69, 192
라사, 89, 165
파라, 59, 161
다아, 48, 192
파차, 49, 179
타하, 91, 159
차차, 62, 184
가나, 50, 174
아아, 96, 170
마가, 90, 144
카하, 82, 140
다하, 49, 163
아라, 47, 161
가카, 95, 179
자아, 67, 148
카사, 74, 149
나나, 60, 177
가아, 50, 140
파하, 53, 171
파하, 41, 182
바가, 64, 159
사나, 98, 155
바자, 43, 163
차아, 65, 164
가라, 61, 148
바가, 61, 197
차하, 91, 184
사가, 59, 146
가파, 73, 146
차바, 62, 174
바하, 94, 179
아자, 78, 140
가타, 95, 161
라차, 47, 194
가바, 81, 174
차자, 52, 185
가아, 56, 177
사라, 67, 178
바카, 53, 168
다사, 61, 161
자자, 40, 186
바파, 50, 184
하가, 60, 187
바가, 62, 176
자라, 99, 182
하카, 83, 182
아하, 98, 155
차타, 79, 174
사라, 82, 174
파자, 72, 189
라파, 62, 151
라라, 80, 166
타다, 75, 181
가하, 96, 189
라나, 46, 186
바나, 45, 199
사바, 76, 154
하사, 58, 192
나마, 95, 176
사바, 74, 195
나다, 80, 163
카파, 90, 199
하다, 60, 180
파다, 73, 157
아가, 62, 143
나바, 63, 180
하바, 77, 199
하자, 69, 195
타타, 89, 183
타파, 89, 184
아마, 68, 186
차다, 87, 197
아가, 97, 181
바아, 78, 181
파카, 75, 198
자사, 70, 163
다라, 45, 143
다다, 71, 147
마라, 98, 180
사아, 40, 195
바자, 50, 174
라마, 90, 189
다타, 66, 141
차마, 99, 150
아나, 87, 184
차마, 70, 162
자나, 75, 197
가카, 44, 182
바라, 90, 184
타라, 77, 171
사마, 52, 177
아나, 46, 156
라아, 61, 178
파사, 95, 150
타하, 43, 153
